Portfolio 11,Target 5%,0.00882765,0.00913465,0.00498832,0.00494858,0.00286698,0.00676057,0.00188107,0.00408721,0.0229271,0.00534975,0.0026297,0.00517956,0.00312379,0.0126023,0.00733256,0.0101102,0.0140434,0.0248337,0.0250088,0.0703541,0.12906,0.0273613,0.0179391,0.00935562,0.00892926,0.00692342,0.00837654,0.00286057,0.00351228,0.00601677,0.00469135,0.0305565,0.00720861,0.0122222,0.00418511,0.00948364,0.00512977,0.00682635,0.0105508,0.0195457,0.00508092,0.00839677,0.0182906,0.0109013,0.00743098,0.00642999,0.0195127,0.00731013,0.0106773,0.0481156
Portfolio 12,Target 5.5%,0.0106141,0.0113619,0.00617011,0.00130017,0.00354984,0.00824356,0.00225064,0.00500454,0.0113221,0.00644349,0.00319583,0.00610442,0.00371753,0.0150306,0.00876775,0.012016,0.0172846,0.0306491,0.0309524,0.0837782,0.157476,0.0307181,0.0222942,0.0113474,0.0106729,0.00908757,0.010043,0.00349314,0.00421175,0.00725933,0.00572254,0.0313435,0.00863468,0.0146349,0.00504475,0.0108967,0.0061509,0.0078654,0.00749321,0.0198027,0.00618885,0.0103472,0.0221576,0.0133004,0.00896303,0.00786916,0.023801,0.00873242,0.0129025,0.0585559
Portfolio 13,Target 6%,0.0133419,0.0138302,0.00748116,0.0015861,0.00430618,0.00987417,0.0026551,0.00601668,0.0133087,0.00764345,0.0038199,0.00710585,0.00436362,0.0176765,0.0103339,0.0140883,0.0208692,0.0370836,0.0375625,0.0982693,0.188717,0.0410269,0.0267227,0.0143907,0.0126413,0.0107462,0.0134531,0.00418961,0.00643723,0.00761706,0.0068565,0.0387009,0.0101714,0.0172678,0.00598276,0.0124093,0.00724242,0.00900248,0.00883497,0.023382,0.00740573,0.0124986,0.0263967,0.0159374,0.0106411,0.00946786,0.0285192,0.0102833,0.0153568,0.0700178
Portfolio 14,Target 6.5%,0.0156664,0.0165387,0.00892115,0.00190184,0.00513602,0.0116525,0.00309447,0.00712392,0.0154584,0.00895031,0.00450193,0.00818427,0.00506227,0.0205391,0.0120308,0.0163277,0.0247965,0.0441371,0.0448121,0.125722,0.222757,0.0472258,0.0315401,0.0168551,0.0147562,0.0125502,0.0157031,0.00553708,0.00580676,0.00897298,0.00809416,0.0472682,0.0118137,0.020121,0.00698648,0.015393,0.00929905,0.0122058,0.010307,0.0272621,0.0096391,0.0116984,0.031009,0.0188131,0.0124652,0.0112261,0.0336673,0.0119624,0.0180401,0.0825023
Portfolio 15,Target 7%,0.0181792,0.0194863,0.0104902,0.00224736,0.00875627,0.0135784,0.00356875,0.00832607,0.0177715,0.0103637,0.0052419,0.00934007,0.00581349,0.023619,0.0138592,0.0187348,0.0290662,0.0518128,0.0527316,0.14473,0.259729,0.0540578,0.0395112,0.0195194,0.0184163,0.0144993,0.0181293,0.006459,0.00870709,0.0104494,0.00939839,0.0569916,0.0135532,0.0231944,0.00563211,0.0177384,0.010637,0.0140415,0.0119239,0.0314427,0.011187,0.0136911,0.0397912,0.0219278,0.0144353,0.0131439,0.0392457,0.00945551,0.0268593,0.0747654
Portfolio 16,Target 7.5%,0.0208801,0.0226728,0.012188,0.00262266,0.0101738,0.0156521,0.00407797,0.00962337,0.0202482,0.0118839,0.00603983,0.0105727,0.00661715,0.0269159,0.0158177,0.017517,0.0336815,0.06011,0.0612889,0.165099,0.269225,0.0614423,0.0455198,0.0223831,0.0210591,0.0159673,0.0207315,0.00745341,0.0136,0.012025,0.0108368,0.0677744,0.0153835,0.0264881,0.00644649,0.0202464,0.0120342,0.0160237,0.0137129,0.0359237,0.0128515,0.0158413,0.0456367,0.025281,0.0165515,0.0152213,0.0452541,0.0107802,0.0307175,0.0857729
Portfolio 17,Target 8%,0.023769,0.0205635,0.0140152,0.00302774,0.0116973,0.0204019,0.00462213,0.0110156,0.0228879,0.0135104,0.00689571,0.011882,0.00747344,0.0304296,0.0179077,0.019851,0.0386205,0.0690323,0.0525919,0.18683,0.307195,0.0716198,0.0519577,0.025446,0.0238808,0.0181242,0.0243105,0.00852031,0.01544,0.0150352,0.012379,0.0795054,0.0172961,0.0300018,0.00731758,0.0229222,0.0134919,0.0181469,0.0144793,0.0407052,0.0146329,0.0181491,0.0518847,0.0288735,0.0188136,0.0174583,0.0516927,0.0121927,0.0348394,0.0975452
Portfolio 18,Target 8.5%,0.026846,0.0234075,0.0159704,0.0034626,0.0133269,0.0231154,0.00520122,0.0125032,0.0256914,0.0152436,0.00780954,0.0132689,0.00838226,0.0341605,0.0201282,0.0223398,0.0439265,0.109152,0.0597671,0.209921,0.347675,0.0805674,0.0588249,0.0331112,0.0268813,0.0204202,0.0273933,0.00965971,0.0174003,0.0169937,0.0140265,0.0920919,0.0192823,0.0337356,0.00824601,0.0257669,0.0150126,0.0204086,0.0163298,0.0457873,0.0165312,0.0206142,0.0585355,0.0283658,0.0212219,0.014636,0.0681505,0.0136932,0.0392249,0.110082
Portfolio 19,Target 9%,0.0378728,0.0264402,0.0180549,0.00396618,0.0150625,0.025999,0.0083761,0.0140858,0.0286591,0.0170837,0.00878133,0.0147328,0.00934352,0.0381086,0.0224797,0.0249701,0.0495631,0.122773,0.0674103,0.234373,0.390665,0.090044,0.0851582,0.0344852,0.0300607,0.0228555,0.0306619,0.0097228,0.0194814,0.0190732,0.0157748,0.105463,0.0213328,0.037685,0.00924207,0.0287807,0.0165993,0.0228076,0.0183422,0.0511684,0.0185458,0.0232369,0.0655888,0.0318879,0.0209269,0.0164071,0.0765679,0.0152815,0.0438741,0.123384
Portfolio 20,Target 9.5%,0.0422407,0.0296604,0.0202682,0.00445171,0.0169041,0.0290528,0.00931239,0.0157635,0.0317901,0.0190302,0.00981107,0.0162734,0.0103574,0.0422747,0.0249618,0.0277535,0.0577951,0.137199,0.0823868,0.260187,0.436164,0.10005,0.0950244,0.0413599,0.0334189,0.0254298,0.0341147,0.0108508,0.0216827,0.0212738,0.0176283,0.11265,0.0231161,0.0418641,0.0104927,0.0268665,0.0169496,0.0253432,0.0205165,0.0568581,0.0206775,0.0260171,0.0730446,0.0356165,0.0233018,0.0182844,0.0854768,0.0169578,0.048787,0.13745
